Date;Well1
2005-08-20;-3.20625
2005-08-21;-3.26416666666667
2005-08-22;-3.3225
2005-08-23;-3.36166666666667
2005-08-24;-3.40583333333333
2005-08-25;-3.455
2005-08-26;-3.50291666666667
2005-08-27;-3.53375
2005-08-28;-3.58416666666667
2005-08-29;-3.5075
2005-08-30;-2.92416666666667
2005-08-31;-2.7175
2005-09-01;-2.46416666666667
2005-09-02;-2.38625
2005-09-03;-2.36291666666667
2005-09-04;-2.17458333333333
2005-09-05;-2.12458333333333
2005-09-06;-2.12958333333333
2005-09-07;-2.05791666666667
2005-09-08;-1.93125
2005-09-09;-1.96916666666667
2005-09-10;-1.99458333333333
2005-09-11;-2.02375
2005-09-12;-2.0475
2005-09-13;-2.06833333333333
2005-09-14;-2.08208333333333
2005-09-15;-2.10833333333333
2005-09-16;-2.15375
2005-09-17;-2.20708333333333
2005-09-18;-2.26666666666667
2005-09-19;-2.315
2005-09-20;-2.36208333333333
2005-09-21;-2.395
2005-09-22;-2.43125
2005-09-23;-2.4925
2005-09-24;-2.56125
2005-09-25;-2.62916666666667
2005-09-26;-2.70125
2005-09-27;-2.76708333333333
2005-09-28;-2.83083333333333
2005-09-29;-2.89291666666667
2005-09-30;-2.95791666666667
2005-10-01;-3.01625
2005-10-02;-3.06333333333333
2005-10-03;-3.10041666666667
2005-10-04;-3.13583333333333
2005-10-05;-2.76
2005-10-06;-2.43791666666667
2005-10-07;-2.01791666666667
2005-10-08;-1.89791666666667
2005-10-09;-1.92083333333333
2005-10-10;-1.91
2005-10-11;-1.84166666666667
2005-10-12;-1.79833333333333
2005-10-13;-1.73416666666667
2005-10-14;-1.70333333333333
2005-10-15;-1.78791666666667
2005-10-16;-1.85708333333333
2005-10-17;-1.90416666666667
2005-10-18;-1.87125
2005-10-19;-1.60916666666667
2005-10-20;-1.65833333333333
2005-10-21;-1.6825
2005-10-22;-1.19166666666667
2005-10-23;-1.32416666666667
2005-10-24;-1.4625
2005-10-25;-1.50791666666667
2005-10-26;-1.62583333333333
2005-10-27;-1.68583333333333
2005-10-28;-1.72625
2005-10-29;-1.76583333333333
2005-10-30;-1.79739130434783
2005-10-31;-1.83291666666667
2005-11-01;-1.86833333333333
2005-11-02;-1.75625
2005-11-03;-1.53958333333333
2005-11-04;-1.55625
2005-11-05;-1.42291666666667
2005-11-06;-1.55416666666667
2005-11-07;-1.62458333333333
2005-11-08;-1.68
2005-11-09;-1.72333333333333
2005-11-10;-1.76
