Date;P1;P3;P5;P6;P7;P9;P10;P12;P13
2003-09-01;-12.109166666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-09-02;-12.112916666666665;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-09-03;-12.118749999999999;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-09-04;-12.131666666666666;-28.22;-39.8;-37.84;NaN;NaN;NaN;NaN;NaN
2003-09-05;-12.139583333333334;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-09-06;-12.145;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-09-07;-12.150416666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-09-08;-12.155833333333334;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-09-09;-12.164583333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-09-10;-12.169166666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-09-11;-12.177083333333334;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-09-12;-12.18375;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-09-13;-12.19125;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-09-14;-12.199583333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-09-15;-12.205;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-09-16;-12.2125;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-09-17;-12.221666666666668;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-09-18;-12.22875;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-09-19;-12.234583333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-09-20;-12.245833333333334;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-09-21;-12.252916666666666;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-09-22;-12.262083333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-09-23;-12.267916666666666;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-09-24;-12.275833333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-09-25;-12.282916666666665;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-09-26;-12.289166666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-09-27;-12.296666666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-09-28;-12.30375;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-09-29;-12.315000000000001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-09-30;-12.324583333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-10-01;-12.342083333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-10-02;-8.64625;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-10-03;-8.55875;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-10-04;-9.597083333333334;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-10-05;-10.789166666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-10-06;-11.220416666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-10-07;-11.375833333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-10-08;-11.448333333333332;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-10-09;-11.529166666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-10-10;-11.629166666666666;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-10-11;-11.735;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-10-12;-11.812916666666666;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-10-13;-11.859166666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-10-14;-11.91125;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-10-15;-11.945416666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-10-16;-11.972916666666666;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-10-17;-11.994166666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-10-18;-12.014166666666666;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-10-19;-12.02625;-27.13;-39.81;-37.96;NaN;NaN;NaN;NaN;NaN
2003-10-20;-8.562083333333334;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-10-21;-7.04;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-10-23;-6.064;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-10-24;-5.993333333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-10-25;-5.9662500000000005;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-10-26;-6.02695652173913;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-10-27;-6.176666666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-10-28;-6.445416666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-10-29;-6.722083333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-10-30;-7.015833333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-10-31;-7.392083333333334;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-11-01;-7.809583333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
